5
5
0 0 2,8000000000E+001
0 1 6,7000000000E+001
0 2 2,8000000000E+001
0 3 6,8000000000E+001
0 4 9,0000000000E+001
1 0 5,9000000000E+001
1 1 6,1000000000E+001
1 2 9,1000000000E+001
1 3 8,5000000000E+001
1 4 8,2000000000E+001
2 0 7,2000000000E+001
2 1 2,5000000000E+001
2 2 8,0000000000E+000
2 3 1,3000000000E+001
2 4 3,5000000000E+001
3 0 6,1000000000E+001
3 1 4,1000000000E+001
3 2 6,3000000000E+001
3 3 2,8000000000E+001
3 4 9,5000000000E+001
4 0 6,8000000000E+001
4 1 7,8000000000E+001
4 2 3,6000000000E+001
4 3 6,6000000000E+001
4 4 1,6000000000E+001
