5
7
0 0 3,7000000000E+001
0 1 8,5000000000E+001
0 2 8,0000000000E+000
0 3 5,3000000000E+001
0 4 7,0000000000E+001
0 5 9,0000000000E+000
0 6 4,0000000000E+001
1 0 9,1000000000E+001
1 1 3,5000000000E+001
1 2 2,9000000000E+001
1 3 6,6000000000E+001
1 4 3,7000000000E+001
1 5 8,3000000000E+001
1 6 2,1000000000E+001
2 0 1,5000000000E+001
2 1 1,1000000000E+001
2 2 9,0000000000E+000
2 3 1,1000000000E+001
2 4 3,9000000000E+001
2 5 5,0000000000E+001
2 6 2,1000000000E+001
3 0 7,6000000000E+001
3 1 4,0000000000E+000
3 2 5,0000000000E+000
3 3 5,5000000000E+001
3 4 9,5000000000E+001
3 5 8,0000000000E+000
3 6 4,6000000000E+001
4 0 5,0000000000E+001
4 1 5,7000000000E+001
4 2 5,8000000000E+001
4 3 1,9000000000E+001
4 4 5,5000000000E+001
4 5 9,5000000000E+001
4 6 5,2000000000E+001
